Candidate_ID,Total_LOVO_MSE
1,0.00041771870269789193
2,0.00041922342522773815
3,0.00041673786337291714
4,0.00044018597016284074
5,0.0004291725551077308
6,0.0004390934822427632
7,0.0004174936349939305
8,0.00043199830851904176
9,0.00043318255232881566
10,0.0004118682761098177
11,0.0003884413597513245
12,0.00041932032543274894
13,0.00042291866777229513
14,0.0004097531049773748
15,0.0004021745104045908
16,0.00042479134716702635
17,0.0004359511180513282
18,0.00042694242861268444
19,0.0004218266433048434
20,0.0003988889825464839
21,0.0004302911722764216
22,0.00042110464885747995
23,0.00042110652274081166
24,0.0004076450507348595
25,0.00040002397484726964
26,0.00042361701749549544
27,0.0004333278181384391
28,0.00042849258558178796
29,0.0004291047626822338
30,0.00041413902534740083
31,0.00043503033098844324
32,0.000387934174206199
33,0.00043104491119016835
34,0.0004095418646594779
35,0.0004200488332190723
36,0.00040723896442219475
37,0.0004164913490544164
38,0.0004175427646311708
39,0.00042475918464111677
40,0.000410266756592006
41,0.00044115942138036153
42,0.00040151846605111384
43,0.0004294159327648257
44,0.0004146440146757831
45,0.0004292238581020242
46,0.0004176357617852263
47,0.00042628422041036116
48,0.00041107689396909154
49,0.00042290624284592893
50,0.0004169104343987763
